st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK314,1,0,0,1-2 hours,9-Aug,12,14,0.4,0.4,0.8672249,0.8530856,0.1659369,0.2707503,1,4,3,2,2,1,0,0,1-2 hours,9-Aug,17,24,0.6857143,0.5666667,1.93844,1.534313,0.614467,0.5603961,1,Tekhand,,0,9,1,12,-2.106704,0,0,0,0,0,1
TK315,1,0,0,1-2 hours,9-Aug,9,19,0.5428572,0.3,2.106994,1.720508,-0.1692891,0.0042915,1,5,2,3,1,,,,.,,,,,,,,,,,Tekhand,13,0,9,1,12,-0.8792201,0,0,0,0,0,1
TK316,1,0,0,1-2 hours,9-Aug,9,16,0.4571429,0.3,1.652235,1.436027,-0.1570571,0.0042915,1,5,2,3,1,1,0,0,1-2 hours,9-Aug,23,25,0.7142857,0.7666667,2.146448,1.670774,1.647433,1.449593,1,Tekhand,,0,9,1,12,-1.816513,0,0,0,0,0,1
TK317,1,0,1,1-2 hours,9-Aug,9,11,0.3142857,0.3,0.5212885,0.5047941,-0.276202,-0.2065421,1,3,2,2,1,,,,.,,,,,,,,,,,Tekhand,13,0,8,1,12,-0.5960069,0,0,0,0,1,0
TK318,1,1,1,.,9-Aug,12,12,0.3428572,0.4,0.0147818,0.0164411,0.0092367,0.1480708,1,2,2,1,2,0,0,1,.,9-Aug,12,16,0.4571429,0.4,-0.2340085,-0.0605566,-1.170974,-0.8699991,1,Tekhand,16,0,9,1,12,-1.401155,0,0,0,0,0,1
TK319,0,1,0,.,7-Jun,11,7,0.2,0.3666667,-0.451633,-0.2371993,-0.3969453,-0.2525299,1,2,2,2,2,0,0,1,.,7-Apr,18,12,0.3529412,0.6,-0.5481133,-0.2997751,0.181637,0.1648755,1,Tekhand,10,0,7,1,12,-0.7398703,0,0,0,1,0,0
TK320,0,0,0,.,9-Aug,13,12,0.3428572,0.4333333,0.7552371,0.7619362,0.2727715,0.3508193,0,4,3,2,2,1,0,0,1-2 hours,9-Aug,14,19,0.5428572,0.4666667,0.8743166,0.7422911,0.1421418,0.1599789,1,Tekhand,,0,9,0,12,1.325671,0,0,0,0,0,1
TK321,0,0,0,.,7-Jun,11,12,0.3428572,0.3666667,-0.0818839,-0.0013921,-0.810588,-0.587144,0,3,2,2,1,0,0,0,.,7-Apr,13,11,0.3235294,0.4333333,-0.5253947,-0.2673211,-0.1474295,-0.0745257,0,Tekhand,13,0,6,0,13,-2.106704,0,0,1,0,0,0
TK322,0,0,0,.,7-Jun,11,12,0.3428572,0.3666667,-0.239863,-0.1739471,-0.3426377,-0.2110968,0,2,3,2,2,0,0,1,.,7-Apr,16,15,0.4411765,0.5333334,0.4533258,0.4475192,0.0519559,0.0803524,1,Tekhand,11,0,6,0,12,-0.1602799,0,0,1,0,0,0
TK323,0,0,0,.,9-Aug,17,7,0.2,0.5666667,-0.8675638,-0.6141687,0.728177,0.6650668,0,1,4,1,3,0,1,0,.,9-Aug,19,13,0.3714286,0.6333333,-0.5599568,-0.3275753,0.9172878,0.8251158,1,Tekhand,,0,9,0,13,-0.3416405,0,0,0,0,0,1
